Depth,GR_1st,IGR,Vsh_1st,GR_2nd,GRc_2nd,Vsh_2nd,GR_3rd,GRc_3rd,Vsh+3rd
m,API,,,API,API,%,API,API,%
203.2,73.4,0.786749082,0.715665443,55,,27.62638028,57.63,,29.6169114
203.3,70.86,0.737685918,0.650247891,56.53,,34.57579514,57.85,,30.49313143
203.4,66.62,0.655785204,0.541046938,56.87,,36.29405295,57.83,,30.41264608
203.5,66.62,0.655785204,0.541046938,58.79,,47.37151601,58.51,,33.24504609
203.6,66.19,0.647479235,0.529972313,58.86,,47.82362956,59.28,,36.70307164
203.7,66.19,0.647479235,0.529972313,57.82,,41.46856037,55.65,,22.56922132
203.8,50.07,0.33610199,0.114802653,58.29,,44.2462561,55.79,,23.02138703
203.9,46.67,0.270426888,0.027235851,56.81,,35.98590839,55.7,,22.72995567
204,46.67,29.9864879,39.64865053,53.64,,22.39986996,54.48,,19.03652879
204.1,40.73,0.155688623,-0.125748503,51.27,,15.04116378,51.29,,11.32394546
204.2,40.73,0.155688623,-0.125748503,50.13,,12.15776016,48.92,,7.038340901
204.3,44.55,0.229476531,-0.027364626,47.61,,6.983527337,45.16,,2.072322493
204.4,45.4,0.245895306,-0.005472925,47.52,,6.825142293,43.02,,0
204.5,45.4,0.245895306,-0.005472925,48.68,,8.998254116,44.57,,1.454318909
204.6,42.01,0.180413367,-0.092782178,50.14,,12.18143859,46.75,,3.939015153
204.7,42.01,0.180413367,-0.092782178,51.53,,15.75365755,47.69,,5.19643568
204.8,40.73,0.155688623,-0.125748503,51.64,,16.06159648,46.78,,3.977280095
204.9,39.46,0.131157041,-0.158457279,50.65,,13.42602348,47,,4.261558504
205,39.46,0.131157041,-0.158457279,50.94,,14.16711102,44.99,,1.890357553
205.1,40.73,0.155688623,-0.125748503,54.44,,25.37447543,47.41,,4.808979367
205.2,40.73,0.155688623,-0.125748503,53.07,,20.44198981,52.8,,14.65822471
205.3,51.76,0.368746378,0.158328504,54.99,,27.58487749,52.79,,14.63438099
205.4,54.74,0.426308673,0.235078231,52.92,,19.94782038,51.85,,12.50000147
205.5,54.74,0.426308673,0.235078231,47.96,,7.615357134,49.96,,8.790006918
205.6,62.37,0.573691327,0.431588436,49.03,,9.713177684,53.39,,16.10970369
205.7,62.37,30.9864879,40.98198387,48.92,,9.485366256,49.98,,8.825579684
205.8,57.71,0.483677806,0.311570408,49.78,,11.34600773,49.87,,8.630839739
205.9,50.07,0.33610199,0.114802653,50.36,,12.70934184,51.14,,11.02036119
206,50.07,0.33610199,0.114802653,48.06,,7.800620033,52.64,,14.27967797
206.1,56.86,0.46725903,0.289678707,50.24,,12.41973277,56.44,,25.20894195
206.2,56.86,0.46725903,0.289678707,55.55,,29.98443978,60.76,,44.17786987
206.3,61.95,0.56557852,0.420771361,59.4,,51.43696173,62.88,,57.0967495
206.4,60.68,0.541046938,0.388062585,60.79,,61.84379311,60.72,,43.96039323
206.5,60.68,0.541046938,0.388062585,60.78,,61.76280141,60.46,,42.56858225
206.6,59.83,0.524628163,0.366170884,60.25,,57.60135901,59.6,,38.22343721
206.7,59.83,0.524628163,0.366170884,62.91,,81.3094476,60.02,,40.29707487
206.8,68.31,0.688429592,0.58457279,62.89,,81.10265458,58.15,,31.72066873
206.9,61.52,0.557272552,0.409696736,63.4,,86.52797316,58.14,,31.67913229
207,61.52,0.557272552,0.409696736,59.21,,50.13983571,59.81,,39.24896189
207.1,61.1,0.549159745,0.39887966,56.16,,32.78100634,60.37,,42.09548236
207.2,61.1,0.549159745,0.39887966,56.29,,33.40288856,58.55,,33.4179626
207.3,50.07,0.33610199,0.114802653,57.55,,39.93972856,56.64,,25.91225773
207.4,47.1,31.9864879,42.3153172,57.98,,42.39728415,55.35,,21.62212969
207.5,47.1,0.278732857,0.038310476,55.14,,28.2124797,54.15,,18.11524012
207.6,45.4,0.245895306,-0.005472925,49.96,,11.7593822,53.11,,15.40978419
207.7,45.4,0.245895306,-0.005472925,48.94,,9.526571576,52.1,,13.04749525
207.8,56.43,0.458953062,0.278604082,51.81,,16.5452627,51.36,,11.46724306
207.9,59.83,0.524628163,0.366170884,52.22,,17.75156876,50.71,,10.17581861
208,59.83,0.524628163,0.366170884,50.94,,14.16711102,49.88,,8.648451678
208.1,53.46,0.401583929,0.202111905,48.27,,8.196705663,48.98,,7.134343126
208.2,53.46,0.401583929,0.202111905,49.79,,11.36874826,47.68,,5.182403273
208.3,59.83,0.524628163,0.366170884,49.96,,11.7593822,46.13,,3.174294815
208.4,52.19,0.377052347,0.169403129,49.76,,11.30060536,45.98,,2.99655499
208.5,52.19,0.377052347,0.169403129,50.6,,13.30073922,50.03,,8.914835199
208.6,55.16,0.43442148,0.245895306,52.48,,18.54667048,51.67,,12.11450664
208.7,55.16,0.43442148,0.245895306,55.91,,31.61100201,51.37,,11.48779923
208.8,53.46,0.401583929,0.202111905,56.79,,35.88366705,49.68,,8.299661287
208.9,54.31,0.418002704,0.224003606,58.16,,43.46281511,49.01,,7.182568805
209,54.31,0.418002704,0.224003606,57.53,,39.8283666,53.31,,15.9076477
209.1,48.37,32.9864879,43.64865053,59.53,,52.34100901,52.86,,14.80180762
209.2,48.37,0.303264439,0.071019252,60.38,,58.59864073,54.83,,20.04874173
209.3,57.71,0.483677806,0.311570408,61.33,,66.35918663,59.31,,36.84347136
209.4,47.95,0.295151632,0.060202176,61.53,,68.10431064,58.94,,35.14204361
209.5,47.95,0.295151632,0.060202176,58.24,,43.94354006,59.28,,36.70307164
209.6,41.16,0.163994591,-0.114673878,56.02,,32.12164521,60.64,,43.52813815
209.7,41.16,0.163994591,-0.114673878,55.74,,30.83447428,59.67,,38.56279923
209.8,52.19,0.377052347,0.169403129,54.43,,25.33557146,57.92,,30.77614897
209.9,56.86,0.46725903,0.289678707,57.95,,42.22183892,58.91,,35.00693123
210,56.86,0.46725903,0.289678707,59.21,,50.13983571,59.68,,38.61148102
210.1,59.83,0.524628163,0.366170884,59.02,,48.87085843,60.05,,40.44867812
210.2,59.83,0.524628163,0.366170884,59.06,,49.13570279,60.83,,44.56063242
210.3,74.25,0.803167858,0.737557144,61.72,,69.79992868,61.82,,50.28248644
210.4,72.56,0.770523469,0.694031292,60.79,,61.84379311,62.45,,54.24184456
210.5,72.56,0.770523469,0.694031292,59.37,,51.23025565,62.74,,56.15322688
210.6,63.65,0.598416071,0.464554761,60.36,,58.44423667,62.25,,52.95675915
210.7,63.65,0.598416071,0.464554761,58.45,,45.2267765,62.16,,52.3871132
210.8,60.68,33.9864879,44.98198387,56.79,,35.88366705,62.35,,53.59596877
210.9,52.19,0.377052347,0.169403129,59.32,,50.8873328,62.48,,54.43691757
211,52.19,0.377052347,0.169403129,60.75,,61.52038669,62.82,,56.690704
211.1,54.74,0.426308673,0.235078231,61.16,,64.90719216,63.93,,64.62741639
211.2,54.74,0.426308673,0.235078231,60.21,,57.29750279,62.44,,54.17695502
211.3,56.01,0.450840255,0.267787007,59.3,,50.75071707,58.92,,35.05192197
211.4,54.31,0.418002704,0.224003606,59.18,,49.93761533,58.63,,33.76595585
211.5,54.31,0.418002704,0.224003606,59,,48.73889428,60.04,,40.39809126
211.6,59.4,0.516322194,0.355096259,57.71,,40.8399437,57.94,,30.85738935
211.7,59.4,0.516322194,0.355096259,56.44,,34.13214162,55.78,,22.98887123
211.8,58.13,0.491790612,0.322387483,55.27,,28.76526448,55.89,,23.34840722
211.9,51.76,0.368746378,0.158328504,54.23,,24.56685204,56.23,,24.48599944
212,51.76,0.368746378,0.158328504,54.23,,24.56685204,54.66,,19.55250413
212.1,49.64,0.327796021,0.103728028,54.18,,24.37743015,55.72,,22.79448323
212.2,49.64,0.327796021,0.103728028,53.78,,22.90079016,56.78,,26.41333434
212.3,58.13,0.491790612,0.322387483,53.75,,22.79276735,55.83,,23.15178812
212.4,51.34,0.360633572,0.147511429,55.43,,29.45710568,54.86,,20.13722522
212.5,51.34,34.9864879,46.3153172,55.91,,31.61100201,54.11,,18.00569695
212.6,39.88,0.139269847,-0.147640203,51.91,,16.83423911,53.59,,16.62224193
212.7,39.88,0.139269847,-0.147640203,49.66,,11.0751597,53.97,,17.62585604
